id,date,age,order,condition,stage,trial,sub_trial,probe,lure,stim_cols,stim_oris,trial_time,judgement,target_ori,response_ori,non_target_1,non_target_2
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,1,3,yellow,cyan,red-blue-yellow,85.0-66.0-114.0,7.20777,1,114,111.0,85.0,66.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,2,3,green,pink,cyan-purple-green,33.0-142.0-13.0,8.061451,1,13,30.0,33.0,142.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,3,3,red,purple,cyan-yellow-red,23.0-51.0-144.0,6.728489,1,144,118.0,23.0,51.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,4,3,blue,yellow,orange-red-blue,47.0-146.0-27.0,7.770412,0,27,42.0,47.0,146.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,5,3,green,red,orange-purple-green,81.0-93.0-124.0,6.790652,1,124,109.0,81.0,93.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,6,3,pink,purple,yellow-pink-blue,102.0-79.0-65.0,7.103662,1,79,73.0,102.0,65.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,7,3,purple,orange,pink-purple-red,41.0-93.0-23.0,8.79057,1,93,26.0,41.0,23.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,8,3,orange,purple,yellow-green-orange,66.0-134.0-94.0,7.722185,1,94,104.0,66.0,134.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,9,3,purple,pink,red-yellow-purple,153.0-34.0-129.0,7.207618,1,129,114.0,153.0,34.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,10,3,yellow,cyan,yellow-red-green,175.0-162.0-49.0,7.332847,1,175,159.0,162.0,49.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,11,3,blue,yellow,blue-red-orange,159.0-29.0-65.0,7.311378,0,159,43.0,29.0,65.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,12,3,cyan,red,pink-cyan-blue,102.0-78.0-177.0,7.166193,1,78,111.0,102.0,177.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,13,3,purple,green,purple-cyan-yellow,172.0-90.0-130.0,8.228246,1,172,162.0,90.0,130.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,14,3,green,blue,cyan-green-red,121.0-50.0-156.0,6.60357,0,50,107.0,121.0,156.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,15,3,blue,orange,blue-pink-cyan,42.0-57.0-106.0,6.832519,1,42,53.0,57.0,106.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,16,3,green,red,blue-green-purple,13.0-28.0-150.0,6.894704,1,28,28.0,13.0,150.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,17,3,yellow,green,red-cyan-yellow,76.0-109.0-19.0,8.582551,1,19,108.0,76.0,109.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,18,3,pink,red,purple-pink-cyan,85.0-103.0-169.0,5.93625,1,103,107.0,85.0,169.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,19,3,yellow,blue,cyan-red-yellow,10.0-54.0-159.0,7.730913,1,159,66.0,10.0,54.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,20,3,yellow,purple,green-yellow-cyan,119.0-45.0-62.0,6.791543,1,45,67.0,119.0,62.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,21,3,yellow,orange,purple-yellow-green,154.0-101.0-39.0,7.561957,1,101,77.0,154.0,39.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,22,3,pink,purple,red-yellow-pink,169.0-25.0-52.0,6.707488,1,52,63.0,169.0,25.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,23,3,blue,purple,cyan-pink-blue,109.0-145.0-38.0,7.311151,1,38,48.0,109.0,145.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,24,3,cyan,orange,cyan-blue-yellow,134.0-27.0-80.0,8.645116,1,134,90.0,27.0,80.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,25,3,green,cyan,yellow-blue-green,33.0-97.0-56.0,7.207819,1,56,70.0,33.0,97.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,26,3,cyan,orange,pink-cyan-yellow,174.0-90.0-113.0,7.436703,1,90,74.0,174.0,113.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,27,3,purple,red,purple-pink-yellow,117.0-38.0-152.0,6.66599,1,117,109.0,38.0,152.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,28,3,pink,cyan,blue-red-pink,6.0-144.0-121.0,6.895147,1,121,122.0,6.0,144.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,29,3,cyan,purple,orange-blue-cyan,162.0-140.0-5.0,7.415967,1,5,30.0,162.0,140.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,30,3,cyan,orange,cyan-pink-green,114.0-151.0-41.0,6.588391,1,114,114.0,151.0,41.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,31,3,cyan,orange,cyan-yellow-purple,129.0-30.0-85.0,6.061796,1,129,113.0,30.0,85.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,32,3,purple,pink,cyan-purple-red,31.0-94.0-62.0,6.374348,1,94,109.0,31.0,62.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,33,3,blue,cyan,purple-blue-green,37.0-112.0-88.0,7.394563,1,112,115.0,37.0,88.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,34,3,pink,green,yellow-pink-cyan,13.0-68.0-135.0,6.290928,1,68,70.0,13.0,135.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,35,3,yellow,purple,green-yellow-orange,100.0-138.0-6.0,7.020073,1,138,109.0,100.0,6.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,36,3,red,pink,purple-red-green,17.0-86.0-133.0,6.416019,1,86,68.0,17.0,133.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,37,3,yellow,red,cyan-orange-yellow,77.0-106.0-164.0,6.061898,1,164,125.0,77.0,106.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,38,3,blue,orange,yellow-green-blue,179.0-33.0-69.0,7.728178,0,69,160.0,179.0,33.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,39,3,green,orange,pink-blue-green,108.0-3.0-78.0,6.145196,1,78,70.0,108.0,3.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,40,3,cyan,red,cyan-green-blue,161.0-43.0-131.0,7.249182,1,161,143.0,43.0,131.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,41,3,blue,red,blue-purple-yellow,86.0-165.0-108.0,6.85318,1,86,80.0,165.0,108.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,42,3,red,pink,yellow-red-cyan,64.0-89.0-171.0,5.436932,1,89,90.0,64.0,171.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,43,3,yellow,blue,pink-orange-yellow,166.0-101.0-124.0,6.311999,1,124,99.0,166.0,101.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,44,3,cyan,green,orange-purple-cyan,107.0-176.0-58.0,7.248992,1,58,75.0,107.0,176.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,45,3,pink,red,purple-pink-cyan,32.0-170.0-50.0,7.873964,1,170,175.0,32.0,50.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,46,3,cyan,red,orange-green-cyan,130.0-143.0-5.0,9.332203,1,5,110.0,130.0,143.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,47,3,green,purple,red-cyan-green,102.0-1.0-166.0,8.686407,1,166,137.0,102.0,1.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,48,3,cyan,yellow,pink-red-cyan,130.0-94.0-54.0,7.103421,1,54,70.0,130.0,94.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,49,3,orange,green,orange-pink-purple,91.0-108.0-1.0,6.376053,1,91,77.0,108.0,1.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,50,3,purple,green,red-purple-pink,142.0-157.0-21.0,7.145004,1,157,154.0,142.0,21.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,51,3,red,pink,purple-red-green,119.0-52.0-29.0,6.957893,1,52,69.0,119.0,29.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,52,3,yellow,pink,red-orange-yellow,52.0-21.0-100.0,6.332701,1,100,105.0,52.0,21.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,53,3,purple,yellow,purple-orange-cyan,77.0-91.0-126.0,10.082263,0,77,74.0,91.0,126.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,54,3,green,red,green-blue-purple,100.0-157.0-65.0,7.186304,1,100,76.0,157.0,65.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,55,3,red,blue,green-orange-red,42.0-56.0-1.0,6.72815,1,1,137.0,42.0,56.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,56,3,cyan,blue,cyan-green-pink,165.0-121.0-150.0,7.020173,1,165,151.0,121.0,150.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,57,3,purple,orange,green-purple-pink,50.0-172.0-150.0,7.978212,0,172,147.0,50.0,150.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,58,3,blue,green,cyan-blue-orange,178.0-97.0-108.0,6.603642,1,97,111.0,178.0,108.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,59,3,cyan,orange,purple-cyan-pink,43.0-94.0-16.0,7.248981,1,94,76.0,43.0,16.0
precision_10,2016_Nov_25_1405,21,SD-SP,single,test,60,3,red,purple,yellow-red-blue,37.0-176.0-155.0,8.915941,1,176,165.0,37.0,155.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,1,3,purple,cyan,orange-green-purple,133.0-40.0-72.0,8.04084,1,72,112.0,133.0,40.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,2,3,orange,blue,cyan-green-orange,171.0-42.0-31.0,7.624599,1,31,25.0,171.0,42.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,3,3,blue,yellow,blue-green-purple,18.0-119.0-157.0,7.082725,1,18,120.0,119.0,157.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,4,3,green,red,pink-purple-green,19.0-93.0-123.0,6.790406,1,123,104.0,19.0,93.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,5,3,green,purple,blue-green-yellow,153.0-132.0-81.0,6.684848,1,132,111.0,153.0,81.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,6,3,yellow,cyan,red-pink-yellow,104.0-134.0-93.0,6.082589,1,93,106.0,104.0,134.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,7,3,orange,pink,green-orange-yellow,106.0-43.0-57.0,6.644907,1,43,54.0,106.0,57.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,8,3,cyan,red,cyan-green-purple,126.0-30.0-93.0,7.124558,1,126,53.0,30.0,93.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,9,3,green,red,orange-yellow-green,26.0-13.0-61.0,6.499741,1,61,66.0,26.0,13.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,10,3,purple,orange,cyan-purple-red,130.0-67.0-110.0,7.062423,1,67,72.0,130.0,110.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,11,3,pink,red,orange-blue-pink,106.0-2.0-140.0,7.64536,1,140,116.0,106.0,2.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,12,3,blue,red,blue-cyan-orange,114.0-179.0-135.0,6.249529,1,114,116.0,179.0,135.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,13,3,blue,pink,orange-yellow-blue,48.0-135.0-12.0,7.873865,1,12,62.0,48.0,135.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,14,3,green,orange,green-cyan-yellow,162.0-68.0-172.0,7.770169,1,162,164.0,68.0,172.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,15,3,purple,cyan,purple-yellow-pink,161.0-54.0-8.0,7.520208,1,161,152.0,54.0,8.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,16,3,blue,cyan,green-blue-orange,92.0-136.0-16.0,6.620412,1,136,62.0,92.0,16.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,17,3,green,cyan,green-orange-pink,158.0-142.0-22.0,8.270414,0,158,41.0,142.0,22.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,18,3,yellow,green,yellow-blue-orange,154.0-176.0-140.0,8.686535,1,154,142.0,176.0,140.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,19,3,red,cyan,red-orange-green,172.0-94.0-108.0,7.228415,1,172,155.0,94.0,108.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,20,3,blue,yellow,green-blue-orange,45.0-167.0-79.0,6.74934,1,167,151.0,45.0,79.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,21,3,orange,purple,orange-red-yellow,51.0-177.0-20.0,6.582686,1,51,50.0,177.0,20.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,22,3,green,orange,blue-pink-green,178.0-82.0-54.0,7.644866,0,54,81.0,178.0,82.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,23,3,pink,purple,pink-orange-yellow,90.0-167.0-151.0,6.582718,1,90,101.0,167.0,151.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,24,3,orange,cyan,pink-green-orange,95.0-64.0-167.0,7.144832,1,167,124.0,95.0,64.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,25,3,pink,purple,blue-pink-green,179.0-79.0-151.0,7.353718,1,79,78.0,179.0,151.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,26,3,cyan,yellow,cyan-orange-red,120.0-25.0-156.0,7.165527,1,120,119.0,25.0,156.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,27,3,blue,pink,blue-yellow-purple,58.0-43.0-74.0,6.645041,1,58,63.0,43.0,74.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,28,3,cyan,yellow,red-purple-cyan,105.0-159.0-33.0,6.686775,1,33,58.0,105.0,159.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,29,3,green,cyan,pink-orange-green,147.0-78.0-51.0,6.895016,0,51,65.0,147.0,78.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,30,3,pink,green,orange-pink-red,163.0-53.0-133.0,8.020335,1,53,66.0,163.0,133.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,31,3,red,blue,red-cyan-yellow,126.0-171.0-98.0,6.999002,1,126,108.0,171.0,98.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,32,3,yellow,green,cyan-purple-yellow,60.0-104.0-74.0,7.207473,1,74,59.0,60.0,104.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,33,3,blue,yellow,purple-cyan-blue,37.0-103.0-2.0,7.895253,1,2,1.0,37.0,103.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,34,3,blue,orange,cyan-blue-red,84.0-97.0-5.0,7.039548,1,97,110.0,84.0,5.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,35,3,red,yellow,cyan-red-purple,81.0-5.0-47.0,7.790655,0,5,39.0,81.0,47.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,36,3,pink,cyan,pink-green-blue,18.0-2.0-156.0,6.999131,1,18,14.0,2.0,156.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,37,3,cyan,blue,orange-yellow-cyan,145.0-178.0-161.0,7.998717,1,161,16.0,145.0,178.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,38,3,blue,green,red-yellow-blue,10.0-144.0-175.0,8.186125,1,175,0.0,10.0,144.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,39,3,cyan,pink,yellow-cyan-orange,103.0-71.0-57.0,7.020259,1,71,62.0,103.0,57.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,40,3,purple,orange,blue-purple-red,130.0-119.0-27.0,6.852803,0,119,71.0,130.0,27.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,41,3,cyan,green,cyan-yellow-orange,177.0-156.0-18.0,9.040532,0,177,160.0,156.0,18.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,42,3,pink,red,purple-pink-cyan,177.0-80.0-95.0,7.561966,1,80,67.0,177.0,95.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,43,3,pink,purple,pink-green-red,31.0-124.0-177.0,7.249102,1,31,41.0,124.0,177.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,44,3,purple,pink,purple-orange-blue,40.0-139.0-52.0,7.124133,1,40,53.0,139.0,52.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,45,3,yellow,orange,blue-yellow-red,34.0-169.0-2.0,8.084116,1,169,153.0,34.0,2.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,46,3,cyan,blue,purple-cyan-pink,132.0-66.0-52.0,8.520124,1,66,67.0,132.0,52.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,47,3,purple,pink,cyan-purple-red,31.0-120.0-103.0,7.582648,0,120,119.0,31.0,103.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,48,3,cyan,purple,orange-pink-cyan,7.0-19.0-165.0,7.894438,1,165,161.0,7.0,19.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,49,3,yellow,red,green-yellow-blue,86.0-17.0-59.0,6.602695,1,17,49.0,86.0,59.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,50,3,blue,cyan,purple-pink-blue,58.0-139.0-104.0,7.207302,0,104,111.0,58.0,139.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,51,3,yellow,purple,pink-yellow-cyan,12.0-131.0-114.0,7.416383,0,131,127.0,12.0,114.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,52,3,purple,orange,red-purple-blue,162.0-108.0-120.0,7.020003,1,108,110.0,162.0,120.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,53,3,purple,red,yellow-purple-green,56.0-40.0-170.0,6.686773,1,40,44.0,56.0,170.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,54,3,yellow,pink,green-yellow-orange,169.0-141.0-41.0,6.478445,1,141,127.0,169.0,41.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,55,3,green,blue,pink-yellow-green,162.0-85.0-137.0,8.581994,0,137,76.0,162.0,85.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,56,3,cyan,pink,green-orange-cyan,67.0-132.0-178.0,7.519724,1,178,45.0,67.0,132.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,57,3,red,orange,cyan-red-blue,76.0-63.0-133.0,8.707609,1,63,78.0,76.0,133.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,58,3,yellow,orange,cyan-yellow-purple,25.0-123.0-73.0,7.561625,1,123,65.0,25.0,73.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,59,3,red,cyan,orange-red-purple,92.0-160.0-145.0,7.353708,1,160,114.0,92.0,145.0
precision_10,2016_Nov_25_1405,21,SD-SP,dual,test,60,3,yellow,red,orange-yellow-purple,170.0-68.0-22.0,6.790756,1,68,69.0,170.0,22.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,1,3,orange,purple,green-orange-blue,109.0-128.0-61.0,7.436625,1,128,114.0,109.0,61.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,2,3,pink,purple,pink-green-yellow,11.0-167.0-65.0,8.388159,0,11,18.0,167.0,65.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,3,3,yellow,orange,cyan-blue-yellow,105.0-6.0-128.0,9.853311,1,128,60.0,105.0,6.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,4,3,blue,red,orange-cyan-blue,43.0-63.0-148.0,7.207215,1,148,64.0,43.0,63.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,5,3,yellow,red,yellow-green-purple,176.0-93.0-159.0,7.895201,1,176,15.0,93.0,159.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,6,3,pink,blue,red-pink-cyan,135.0-125.0-61.0,6.978286,1,125,127.0,135.0,61.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,7,3,cyan,yellow,orange-red-cyan,150.0-84.0-163.0,7.666166,1,163,146.0,150.0,84.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,8,3,green,pink,yellow-blue-green,25.0-56.0-95.0,7.187384,1,95,99.0,25.0,56.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,9,3,yellow,red,green-purple-yellow,155.0-106.0-94.0,6.394971,1,94,121.0,155.0,106.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,10,3,orange,pink,cyan-orange-red,84.0-70.0-49.0,6.832781,1,70,97.0,84.0,49.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,11,3,pink,blue,yellow-pink-cyan,7.0-128.0-149.0,8.561555,1,128,145.0,7.0,149.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,12,3,purple,green,orange-red-purple,163.0-85.0-24.0,9.603269,1,24,125.0,163.0,85.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,13,3,red,blue,yellow-purple-red,174.0-87.0-29.0,7.853036,0,29,58.0,174.0,87.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,14,3,orange,blue,purple-orange-pink,127.0-66.0-80.0,6.915832,1,66,66.0,127.0,80.0
precision_11,2016_Nov_25_1532,19,SP-SD,single,test,15,3,red,cyan,green-orange-red,50.0-103.0-37.0,7.041136,1,37,42.0,50.0,103.0
