"id","sequence","condition","cuing_interval","task","response","target","nt1","nt2","nt3"
"1_short","switch","pure","short","colour",179.5322897,192.7,87.4,129.6,341.3
"1_short","repetition","pure","short","colour",300.5509699,295.6,238.9,135.4,353.1
"1_short","repetition","pure","short","colour",50.53863753,53.4,301.9,215.8,159.8
"1_short","repetition","pure","short","colour",354.5708411,347.8,294.7,108.3,239.8
"1_short","repetition","pure","short","colour",244.6902331,226.1,62.9,351.2,309.9
"1_short","repetition","pure","short","colour",237.2647737,252.8,29.7,104,153.2
"1_short","repetition","pure","short","colour",302.7660222,295.7,70.3,175.7,238.8
"1_short","repetition","pure","short","colour",25.65926452,28.1,238.5,112.2,176.6
"1_short","repetition","pure","short","colour",346.9136513,342.7,126,181.1,222.8
"1_short","repetition","pure","short","colour",174.6517278,203.6,253.8,150.2,78.4
"1_short","repetition","pure","short","colour",244.906651,230.4,45.9,285.9,169.1
"1_short","repetition","pure","short","colour",294.7068704,287.2,201.5,6.3,155.8
"1_short","repetition","pure","short","colour",60.1644609,68.5,194.8,275.7,126.9
"1_short","repetition","pure","short","colour",313.085049,335.2,58.6,16.4,152.7
"1_short","repetition","pure","short","colour",328.6324428,331.1,247.4,12.9,92.3
"1_short","repetition","pure","short","colour",197.8708736,199.5,334.7,77.9,259.9
"1_short","repetition","pure","short","colour",177.4438499,162.3,41.6,308,264.3
"1_short","repetition","pure","short","colour",5.173168879,20.6,205,290.3,112.4
"1_short","repetition","pure","short","colour",8.947584755,9.9,67.4,165.2,290
"1_short","repetition","pure","short","colour",277.7542857,186,265.5,104.4,28.4
"1_short","repetition","pure","short","colour",357.9904462,3.5,263.9,156.5,97.5
"1_short","repetition","pure","short","colour",357.9904462,357.3,204.3,72.4,151.8
"1_short","repetition","pure","short","colour",156.8014095,133.9,322.5,11.1,221.5
"1_short","repetition","pure","short","colour",54.13961514,295.7,123.2,79.9,191.2
"1_short","repetition","pure","short","colour",287.3240895,295.1,152.2,244.2,46.6
"1_short","repetition","pure","short","colour",234.9874216,15.4,330.4,216.7,85.3
"1_short","repetition","pure","short","colour",153.2191465,152.1,315.1,224.2,51.7
"1_short","repetition","pure","short","colour",153.5436693,28.1,194.3,285.5,128.7
"1_short","repetition","pure","short","colour",124.0402819,119.2,277.9,53.6,212
"1_short","repetition","pure","short","colour",237.7352443,247.2,74.6,131.6,22.3
"1_short","repetition","pure","short","colour",110.6115913,108.5,344.2,148.9,35.7
"1_short","repetition","pure","short","colour",323.1802299,333.1,20,284.1,172.7
"1_short","repetition","pure","short","colour",0.25019832,354.1,198.4,278.6,77.4
"1_short","repetition","pure","short","colour",238.9061246,224.7,137,73,349.1
"1_short","repetition","pure","short","colour",147.6594068,127.9,235.2,331.5,20.8
"1_short","repetition","pure","short","colour",122.6192431,75.7,4.1,245.2,168.2
