TrialNumber,prime_pos_1,prime_pos_2,prime_pos_3,prime_pos_4,prime_col_1,prime_col_2,prime_col_3,prime_col_4,prime_angle_1,prime_angle_2,prime_angle_3,prime_angle_4,curr_task,sequence,target_angle_colour,target_angle_orientation,condition,subject,block_type,ran,order,response,rt
1,135,45,315,225,245.5,318.6,44.2,186.9,344.5,271.6,110.30000000000001,25.900000000000002,colour,switch,245.0,344.0,experiment_1,012,mixed,1.0,0.0,247.0,2.081042
2,45,315,135,225,183.5,97.10000000000001,16.6,302.90000000000003,111.7,270.5,57.300000000000004,208.3,orientation,switch,183.0,111.0,experiment_1,012,mixed,1.0,1.0,86.71075732150818,2.7263184
3,135,315,45,225,275.2,203.3,159.9,90.2,49.7,266.5,345.5,145.20000000000002,orientation,repetition,275.0,49.0,experiment_1,012,mixed,1.0,2.0,44.747597317710856,3.2413723
4,225,45,135,315,60.300000000000004,107.5,198.4,294.3,305.8,88.5,187.0,12.200000000000001,orientation,repetition,60.0,305.0,experiment_1,012,mixed,1.0,3.0,291.35283959470837,4.264003
5,225,315,135,45,171.9,355.6,315.5,114.30000000000001,56.1,357.1,133.8,256.90000000000003,orientation,repetition,171.0,56.0,experiment_1,012,mixed,1.0,4.0,67.96377305985456,3.5178812
6,225,135,315,45,310.1,119.9,211.20000000000002,38.800000000000004,218.0,100.10000000000001,35.0,163.70000000000002,colour,switch,310.0,218.0,experiment_1,012,mixed,1.0,5.0,309.0,2.4010377
7,315,45,225,135,248.5,352.0,158.0,66.7,286.2,102.80000000000001,51.400000000000006,203.5,orientation,switch,248.0,286.0,experiment_1,012,mixed,1.0,6.0,286.94922423382144,4.864946
8,135,315,225,45,192.8,17.1,255.0,326.0,116.9,21.900000000000002,301.1,219.3,orientation,repetition,192.0,116.0,experiment_1,012,mixed,1.0,7.0,113.98203050844293,2.3984587
9,315,45,135,225,32.5,90.0,141.6,238.70000000000002,219.60000000000002,125.2,274.7,351.8,colour,switch,32.0,219.0,experiment_1,012,mixed,1.0,8.0,83.0,1.7099833
10,135,45,315,225,295.5,34.0,92.10000000000001,341.20000000000005,86.0,216.70000000000002,164.60000000000002,12.0,colour,repetition,295.0,86.0,experiment_1,012,mixed,1.0,9.0,304.0,1.5938714
11,315,225,45,135,331.40000000000003,52.300000000000004,257.90000000000003,112.7,99.2,161.70000000000002,12.100000000000001,278.3,orientation,switch,331.0,99.0,experiment_1,012,mixed,1.0,10.0,120.10130456559969,2.3064766
12,315,225,135,45,50.2,168.10000000000002,300.40000000000003,353.3,147.70000000000002,242.3,71.5,293.7,orientation,repetition,50.0,147.0,experiment_1,012,mixed,1.0,11.0,142.50000920696505,2.5344641
